Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
KR9,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KR9,Br-,ppm,(6)2,-,1.03,0.005,1.08,0.005,0.005
KR9,Ca,ppm,300,-,46,44,56.1,51.12,48.8
KR9,Cd,ppm,3,0.01,1,1,1,1,1
KR9,Cl-,ppm,250(400),600,33.87,57.7,44.5,21.54,22.32
KR9,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR9,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR9,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR9,Electrical Conductivity,mS.cm-1,1.5,3,0.592,0.489,0.645,0.506,0.629
KR9,F-,ppm,0.5-1.5,1,0.12,0.005,0.15,0.28,0.09
KR9,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
KR9,Hg,ppm,6,-,0.91,0.25,1,1,1
KR9,K,ppm,12,-,0.92,2.08,1.96,2.11,0.82
KR9,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR9,Mg,ppm,30,100,6.31,10.5,6.26,7.22,7.86
KR9,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR9,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR9,Na,ppm,200,-,31.22,49.7,32.4,10.92,11.32
KR9,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR9,Opacity,NTU,≤1(5),50,14.29,7.29,3.21,4.23,6.01
KR9,Oxygen Solution,ppm,-,2,10.4,8.1,6.2,6.5,7.8
KR9,P,ppm,-,-,0.09,0.11,0.005,0.005,0.005
KR9,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
KR9,pH,-,6.5-8.5(9),5.4-6.8,7.98,8.37,8.29,8.34,8.18
KR9,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR9,Se,ppm,0.01,0.02,0.12,0.26,0.14,0.11,0.32
KR9,Si,ppm,-,-,4.14,0.79,3.55,1.32,2.63
KR9,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR9,Sr,ppm,7,-,0.18,0.51,0.38,0.27,0.2
KR9,Temperature,◦C,-,-,16,14.9,19.1,17.9,18.2
KR9,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR9,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR9,TOC,ppm,2,4,1.247,1.202,0.687,0.549,0.994
KR9,Total Soluble Solids,ppm,1000(1500),-,338.5,313,412.8,323.8,402.5
KR9,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
KR9,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KT1,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KT1,Al,ppm,0.1(0.2),5,0.08,0.47,0.21,0.09,0.23
KT1,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KT1,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KT1,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KT1,Bi,ppm,-,0.5,0.005,0.1,0.005,0.005,0.005
KT1,Br-,ppm,(6)2,-,2.93,4.29,3.6,5.42,4.44
KT1,Ca,ppm,300,-,63.6,65.9,77.5,80.21,87.06
KT1,Cd,ppm,3,0.01,1,1,1,1,1
KT1,Cl-,ppm,250(400),600,100.12,103.5,132.8,84.1,99.8
KT1,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KT1,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KT1,Cu,ppm,1(2),0.2,0.005,0.005,0.84,0.005,0.12
KT1,Electrical Conductivity,mS.cm-1,1.5,3,1.64,1.3,1.4,1.34,1.19
KT1,F-,ppm,0.5-1.5,1,0.33,0.09,0.41,1.02,0.14
KT1,Fe,ppm,0.3,5,0.19,0.36,0.28,0.36,0.14
KT1,Hg,ppm,6,-,1,1,1,1,1
KT1,K,ppm,12,-,19.2,17.5,18.4,14.8,20.1
KT1,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KT1,Mg,ppm,30,100,14.4,17.5,21.4,22.3,18.9
KT1,Mn,ppm,0.1(0.4),0.2,0.005,0.23,0.66,0.03,0.15
KT1,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KT1,Na,ppm,200,-,112.1,150.8,106.2,164.2,115.1
KT1,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KT1,Opacity,NTU,≤1(5),50,80.29,78.03,84.88,98.92,74.39
KT1,Oxygen Solution,ppm,-,2,1.1,1,0.7,0.9,1.3
KT1,P,ppm,-,-,4.2,1.93,6.02,3.87,5.94
KT1,Pb,ppm,0.01,1,0.005,0.005,0.03,0.03,0.05
KT1,pH,-,6.5-8.5(9),5.4-6.8,8.13,7.81,7.91,7.93,7.78
KT1,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KT1,Se,ppm,0.01,0.02,0.22,0.15,0.85,0.2,0.12
KT1,Si,ppm,-,-,4.54,7.77,7,6.23,9.02
KT1,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT1,Sr,ppm,7,-,1.18,1.14,1.21,1.54,0.99
KT1,Temperature,◦C,-,-,16.1,23.4,26.7,24.3,22.02
KT1,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KT1,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT1,TOC,ppm,2,4,87.54,98.49,75.77,89.21,68.87
KT1,Total Soluble Solids,ppm,1000(1500),-,1050,833.2,901.12,863.2,799.6
KT1,V,ppm,0.1,0.1,0.42,0.38,0.3,0.29,1.04
KT1,Zn,ppm,3,2,0.005,0.005,0.11,0.005,0.08
KT2,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KT2,Al,ppm,0.1(0.2),5,0.03,0.84,0.15,0.13,0.18
KT2,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KT2,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KT2,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KT2,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KT2,Br-,ppm,(6)2,-,1.08,4.21,4.59,5.93,3.95
KT2,Ca,ppm,300,-,81.2,71.6,128.1,83.2,84.3
KT2,Cd,ppm,3,0.01,1,1,1,1,1
KT2,Cl-,ppm,250(400),600,119.3,211.9,220.5,80.8,113.3
KT2,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KT2,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KT2,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KT2,Electrical Conductivity,mS.cm-1,1.5,3,1.08,1,1.32,1.12,1.18
KT2,F-,ppm,0.5-1.5,1,0.9,3.45,1.4,1.22,0.88
KT2,Fe,ppm,0.3,5,0.12,0.39,0.13,0.34,0.09
KT2,Hg,ppm,6,-,1,1,1,1,1
KT2,K,ppm,12,-,20.1,13.3,13.1,13.4,17.8
KT2,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KT2,Mg,ppm,30,100,16.2,15.5,14.9,26.3,20.1
KT2,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.03,0.23,0.09
KT2,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KT2,Na,ppm,200,-,110.1,132.2,96.2,155.4,117.3
KT2,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KT2,Opacity,NTU,≤1(5),50,20.14,18.93,27.34,18.71,22.92
KT2,Oxygen Solution,ppm,-,2,4.1,5.1,4,6,4.8
KT2,P,ppm,-,-,4.2,2.13,3.76,2.07,4.49
KT2,Pb,ppm,0.01,1,0.005,0.005,0.24,0.03,0.28
KT2,pH,-,6.5-8.5(9),5.4-6.8,7.92,7.12,7.43,7.28,7.69
KT2,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KT2,Se,ppm,0.01,0.02,0.04,0.61,0.11,0.17,0.08
KT2,Si,ppm,-,-,5.55,8.09,6.77,6.04,8.81
KT2,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT2,Sr,ppm,7,-,0.94,1.16,0.95,0.98,1.13
KT2,Temperature,◦C,-,-,16.7,24.1,24.2,27.5,22.3
KT2,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KT2,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT2,TOC,ppm,2,4,10.24,9.949,9.23,11.21,9.412
KT2,Total Soluble Solids,ppm,1000(1500),-,984.2,645.1,847.3,716.8,755.4
KT2,V,ppm,0.1,0.1,0.39,0.05,0.33,0.44,0.91
KT2,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KT3,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KT3,Al,ppm,0.1(0.2),5,0.18,0.28,0.73,0.17,0.22
KT3,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KT3,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KT3,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KT3,Bi,ppm,-,0.5,0.005,0.1,0.005,0.005,0.005
KT3,Br-,ppm,(6)2,-,0.005,1.24,0.005,0.005,67
KT3,Ca,ppm,300,-,88.3,112.1,102.3,91.5,76.3
KT3,Cd,ppm,3,0.01,1,1,1,1,1
KT3,Cl-,ppm,250(400),600,145.6,113.2,135.2,159.2,82.8
KT3,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KT3,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KT3,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KT3,Electrical Conductivity,mS.cm-1,1.5,3,1.32,0.92,0.989,1.26,0.949
KT3,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.005,0.02
KT3,Fe,ppm,0.3,5,0.005,0.005,0.005,0.29,0.11
KT3,Hg,ppm,6,-,1,1,1,1,1
KT3,K,ppm,12,-,14.2,21.3,16.7,18.8,19.78
KT3,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KT3,Mg,ppm,30,100,18.7,14.2,22.5,18,25.4
KT3,Mn,ppm,0.1(0.4),0.2,0.005,0.14,0.34,0.005,0.005
KT3,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KT3,Na,ppm,200,-,94.7,111.9,71.8,68.3,74.6
KT3,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KT3,Opacity,NTU,≤1(5),50,96.8,67.3,70.13,109.39,90.11
KT3,Oxygen Solution,ppm,-,2,0.8,0.9,1.2,0.7,0.6
KT3,P,ppm,-,-,4.67,1.44,6.82,5.61,3.98
KT3,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
KT3,pH,-,6.5-8.5(9),5.4-6.8,7.88,7.93,7.75,8.1,7.63
KT3,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KT3,Se,ppm,0.01,0.02,0.12,0.07,0.97,0.2,0.13
KT3,Si,ppm,-,-,5.87,7.63,10.2,8.23,8.95
KT3,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT3,Sr,ppm,7,-,0.89,1.33,1.15,0.95,0.83
KT3,Temperature,◦C,-,-,17.3,22.9,24.3,27.2,18.7
KT3,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KT3,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT3,TOC,ppm,2,4,96.32,98.49,67.77,78.21,89.24
KT3,Total Soluble Solids,ppm,1000(1500),-,889.4,833.2,632.9,806.4,615.4
KT3,V,ppm,0.1,0.1,0.005,0.1,0.005,0.94,0.04
KT3,Zn,ppm,3,2,0.005,0.005,0.16,0.005,0.08
KT4,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KT4,Al,ppm,0.1(0.2),5,0.23,0.99,0.15,0.08,0.3
KT4,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KT4,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KT4,Ba,ppm,0.7,1,0.14,0.12,0.005,0.005,0.005
KT4,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KT4,Br-,ppm,(6)2,-,7.9,61.6,8.1,13.3,40.5
KT4,Ca,ppm,300,-,113.8,103.5,112.3,85.2,70.92
KT4,Cd,ppm,3,0.01,1,1,1,1,1
KT4,Cl-,ppm,250(400),600,187.2,215.8,200,159.3,90.1
KT4,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KT4,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KT4,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KT4,Electrical Conductivity,mS.cm-1,1.5,3,0.96,0.847,1.128,1.21,0.795
KT4,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.005,0.005
KT4,Fe,ppm,0.3,5,0.005,0.005,0.005,0.19,0.005
KT4,Hg,ppm,6,-,1,1,1,1,1
KT4,K,ppm,12,-,13.6,15.9,15.7,17.8,20.13
KT4,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KT4,Mg,ppm,30,100,22.2,23.3,19.4,18.7,24.3
KT4,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KT4,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KT4,Na,ppm,200,-,90.7,83.1,76.6,70.2,68.3
KT4,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KT4,Opacity,NTU,≤1(5),50,30.24,47.81,34.37,34.8,42.1
KT4,Oxygen Solution,ppm,-,2,5.6,4.1,4.1,3.9,4.2
KT4,P,ppm,-,-,4.05,3.34,2.23,5.24,3.22
KT4,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
KT4,pH,-,6.5-8.5(9),5.4-6.8,7.78,7.63,7.69,8.13,7.81
KT4,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KT4,Se,ppm,0.01,0.02,0.09,0.11,0.13,0.2,0.08
KT4,Si,ppm,-,-,7.88,11.1,9.56,10.43,9.82
KT4,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT4,Sr,ppm,7,-,0.96,1.16,1.15,1.21,1.09
KT4,Temperature,◦C,-,-,17.4,24.1,27.1,27.5,19.1
KT4,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KT4,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KT4,TOC,ppm,2,4,5.149,6.487,3.824,4.178,4.211
KT4,Total Soluble Solids,ppm,1000(1500),-,621,542,721.9,774.4,508.7
KT4,V,ppm,0.1,0.1,0.005,0.1,0.005,0.08,0.04
KT4,Zn,ppm,3,2,0.005,0.29,0.005,0.005,0.08
