Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K14,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K14,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K14,Na,ppm,200,-,82.3,75.9,68.3,61.6,47.7
K14,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K14,Opacity,NTU,≤1(5),50,18.14,11.97,11.23,16.16,25.81
K14,Oxygen Solution,ppm,-,2,8.4,6.4,5.8,5.6,4.2
K14,P,ppm,-,-,0.23,68,79,0.11,0.69
K14,Pb,ppm,0.01,1,0.21,0.35,0.005,0.11,0.005
K14,pH,-,6.5-8.5(9),5.4-6.8,7.64,7.32,7.45,7.79,8.24
K14,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K14,Se,ppm,0.01,0.02,0.19,0.36,0.84,0.11,0.07
K14,Si,ppm,-,-,10.2,12.9,8.19,10.1,5.45
K14,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K14,Sr,ppm,7,-,1.21,1.2,1.12,1.63,1.36
K14,Temperature,◦C,-,-,22.3,17.4,19,26.1,28.3
K14,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K14,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K14,TOC,ppm,2,4,0.421,0.308,0.264,0.113,0.319
K14,Total Soluble Solids,ppm,1000(1500),-,584.7,651.5,864,780.2,690.1
K14,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K14,Zn,ppm,3,2,0.27,0.14,0.005,0.005,0.005
K15,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K15,Al,ppm,0.1(0.2),5,0.005,0.005,0.005,0.13,0.005
K15,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K15,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K15,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K15,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K15,Br-,ppm,(6)2,-,8.63,9.38,12.8,14.44,9.62
K15,Ca,ppm,300,-,64.2,54.3,49.8,55.13,69.5
K15,Cd,ppm,3,0.01,1,1,1,1,1
K15,Cl-,ppm,250(400),600,78.1,46.6,45.9,30.3,27.8
K15,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K15,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K15,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K15,Electrical Conductivity,mS.cm-1,1.5,3,0.88,0.42,0.643,0.51,0.392
K15,F-,ppm,0.5-1.5,1,0.33,0.39,0.82,0.18,0.72
K15,Fe,ppm,0.3,5,0.08,0.51,0.31,0.005,0.07
K15,Hg,ppm,6,-,1,1,1,1,1
K15,K,ppm,12,-,2.9,1.6,1.66,5.66,3.71
K15,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K15,Mg,ppm,30,100,22.5,17.3,13.4,20.2,16.8
K15,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K15,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K15,Na,ppm,200,-,80.6,56.2,48.3,32.1,29.8
K15,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K15,Opacity,NTU,≤1(5),50,17.37,28.76,22.47,40.18,46.43
K15,Oxygen Solution,ppm,-,2,9.1,7.5,7.2,5.1,4.3
K15,P,ppm,-,-,0.95,0.98,0.005,0.43,0.005
K15,Pb,ppm,0.01,1,0.005,0.005,0.005,0.11,0.005
K15,pH,-,6.5-8.5(9),5.4-6.8,7.63,7.82,8.1,8.21,8.13
K15,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K15,Se,ppm,0.01,0.02,0.22,0.18,0.96,0.21,0.06
K15,Si,ppm,-,-,10.7,9.8,6.43,8.66,8.71
K15,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K15,Sr,ppm,7,-,1.01,0.67,0.6,0.81,0.53
